;;Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM)
;;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave
;;1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB]
No;Date & time;20.0 Hz;25.0 Hz;31.5 Hz;40.0 Hz;50 Hz;63 Hz;80 Hz;100 Hz;125 Hz;160 Hz;200 Hz;250 Hz;315 Hz;400 Hz;500 Hz;630 Hz;800 Hz;1000 Hz;1250 Hz;1600 Hz;2000 Hz;2500 Hz;3150 Hz;4000 Hz;5000 Hz;6300 Hz;8000 Hz;10000 Hz;12500 Hz;16000 Hz;20000 Hz;Total A;Total C;Total Z
13;13-3-2015 16:12:02.600;28,9;24,2;20,3;22,3;22,9;18,7;19,1;12,6;15,3;14,2;14,2;24,8;32,4;36,5;31,5;34,1;42;48,8;48,4;39,7;43,5;48;46,2;52,3;45,2;41,1;49,5;46,7;44,3;39,8;40,2;58,4;57,1;58,4
14;13-3-2015 16:12:02.800;27,2;21,9;20,3;22,8;20,1;17;16,4;14,8;15,3;13,8;14,2;25,6;32,7;35,8;29,8;35,5;41,5;49,7;48,6;39,9;44,4;48,8;45,7;46,6;39,8;35,2;42,7;40,1;37,4;33,3;33,4;56,8;55,9;56,5
15;13-3-2015 16:12:03.000;25,2;22,3;20,8;19,6;20,8;17,3;18,1;12,6;16,4;14,2;14,5;26,5;33,2;36,9;31,5;36,2;42,1;49,2;48,3;40;43,1;47,6;45,9;42,5;37,6;34,5;38,1;41,7;36,7;29,2;31,6;55,9;55,1;55,9
16;13-3-2015 16:12:03.200;27,4;25,6;21,9;22,8;21,8;18,5;16,6;14,2;14,2;15,1;14,5;27,1;32;36,1;29,6;34,6;41,7;49,8;48,6;42,2;50,1;55,4;54,7;69,6;68,9;70,5;69,6;75,6;72,2;67,6;65,2;78,1;76,2;79,8
17;13-3-2015 16:12:03.400;24,3;22,9;22,5;20,1;23,7;21,1;16,2;16,4;14,5;14,8;16,4;27,1;33;35,8;31;33;40,4;49,8;48,5;43,3;53,4;56,2;56,5;68,1;69,5;72,9;68,4;78,7;76,2;72,4;68,6;80;78,1;82,4
18;13-3-2015 16:12:03.600;27,2;24,2;22,4;21,2;21,6;19,9;17,6;16;14,8;13,8;16,6;25,4;32,6;35,9;31,4;34,4;40,6;50,1;48,6;44,1;52,5;61,1;59,8;63,6;70,7;79;69,1;80,9;77;73,3;70,2;82,8;80,9;84,8
19;13-3-2015 16:12:03.800;29,9;22,7;22,3;21;23,1;18,8;14,5;14,5;14,5;13,8;15,3;25,6;30,9;34,9;31,3;34,2;41,1;50,4;48,6;43,3;52,4;59;58;69,4;69;74,7;71;78;74,8;71,2;68,6;80,3;78,4;82,2
20;13-3-2015 16:12:04.000;27,3;25,9;20,4;19,8;22,7;19,7;12,6;12,6;14,5;13;13,8;23,6;32,7;34,8;30;35,2;40,8;50,5;48,6;45,1;53;60,9;59,5;67,8;72,3;79,7;70,8;80,2;77,3;74;70,2;83,3;81,4;85
21;13-3-2015 16:12:04.200;24,3;25,6;20,8;18,3;23,2;17,2;16;13;15,3;12,6;13,8;23,9;31,8;35,3;30,9;35,6;41,1;50,3;48,9;44,3;52,4;58,7;58;62,6;71,1;77,7;66,4;80,1;77,5;73,7;69,7;82,1;80,2;84,2
22;13-3-2015 16:12:04.400;26,6;22,8;23,9;21;22,8;18,6;16;13,4;16;13,4;14,2;26,6;31,6;35,8;30,6;35,4;41,5;50,8;48,8;46,6;53,7;62,5;61,5;63,1;74,6;80;67,9;79,9;77,5;73,8;69,8;83,5;81,6;85
23;13-3-2015 16:12:04.600;28,8;20;19,9;18,5;24,8;21,2;17,5;13;16,2;14,8;13,4;26;31,1;35;30,4;34,5;41,6;50,8;48,8;45,3;53,1;59,8;58,8;60,5;72,4;79,1;65,2;77,2;75,4;72,9;68,2;82;80,1;83,3
24;13-3-2015 16:12:04.800;27,3;24,5;21,7;20,5;25;19,6;16,2;15,1;14,2;14,2;15,1;25,7;31,8;35,4;30,8;33,9;40,6;50,6;48,6;44,2;51;58,3;57,6;70,3;70,8;76,2;71,3;76,4;74,8;71,4;67;80,7;78,9;82,2
25;13-3-2015 16:12:05.000;29,6;23,1;18,7;18,6;23,7;19,6;15,8;14,5;16;13;15,6;25,8;31,8;36,4;30,9;34,5;41;50,6;48,2;44,4;52,1;57,9;57,7;72,9;69;71,7;72,6;74,2;71,7;68,5;65,3;79,1;77,2;80,3
26;13-3-2015 16:12:05.200;27,1;25,1;22,7;15,1;22,3;16,6;14,5;14,2;14,2;11,5;14,2;25,2;31,6;36,3;29,6;35,2;41,8;50,4;48,7;43,7;52,4;56,6;58,4;66,7;66,1;70,8;66,9;75,7;73,4;69,8;66,6;77,5;75,7;79,8
27;13-3-2015 16:12:05.400;25;22,7;25;19,6;22,9;18,6;13,4;13;13,4;11,5;13,8;25,9;32,3;36,3;31,6;35,5;41,8;50,2;48,7;43,6;52,1;55,8;64,5;66,2;63,9;68;66,6;73,2;71,6;66,7;63,9;76;74,1;77,9
28;13-3-2015 16:12:05.600;25,7;22,3;26,2;21,8;23;18,6;12,6;11,5;13,8;14,5;10,8;25,4;31,7;36,4;31,7;35,3;40,6;49,9;48,6;44,5;52;59,2;64;68,4;68,3;75,9;66,8;76,3;73,3;67,9;65,7;79,8;77,9;81,2
29;13-3-2015 16:12:05.800;29,3;20,9;26;19,9;21,8;20,3;15,6;14,8;13,8;14,2;10;25,1;32,3;35,9;32,2;34,5;40,8;49,9;48,3;43,2;52,6;56,6;61,6;70,2;66,8;72,9;66,8;73,4;71,8;65,1;63,2;77,9;76;79,1
30;13-3-2015 16:12:06.000;27,6;22,7;23,2;21,3;22,4;18,5;17,6;13,8;12,6;12,6;14,5;26,4;32,7;35,6;31,1;34,5;41,1;49,9;48,2;43,5;51,6;56,9;60;69;67,2;68,7;66;73,6;73;64,8;65,5;76,9;75,1;78,7
31;13-3-2015 16:12:06.200;28,5;23,6;25,6;23,2;21,3;18,3;17,8;15,6;15,8;14,8;19,7;26,7;31,1;34,7;30,4;35;41,4;49,3;48,3;44,1;50,9;65,2;67;69,6;68,4;74,2;71,9;78,6;76,1;67,9;69,6;81,1;79,2;82,8
32;13-3-2015 16:12:06.400;27,7;26,7;27,4;21,7;22,6;19,4;16,2;15,1;15,8;16;18,6;26,4;33,4;36,8;29,9;36,1;41,9;50,4;49;44,4;52,9;62,6;65,5;72,2;70,4;77,4;72,3;78,4;75,4;69,1;68,3;82;80,1;83,3
33;13-3-2015 16:12:06.600;30,4;28,3;25,7;24,1;22,3;17,2;15,8;16,2;15,3;15,3;17,2;25,5;32,9;36,2;31,2;35,3;41,2;49,6;48,8;44;53,5;58,8;62,2;68,2;67,6;73,7;68,8;76,9;74,8;69;66,7;79,3;77,4;81,2
34;13-3-2015 16:12:06.800;29,6;28,2;29;21,7;21,9;17,9;16,8;17,2;13,4;13,8;15,8;25,4;33,6;35,7;31,2;34;40,6;49,8;48,6;44;52,4;56,8;66,5;66,3;64,5;68,5;69,3;73,4;73,1;66;63,9;76,9;75,1;78,7
35;13-3-2015 16:12:07.000;27,2;31,5;25,7;20;23,1;18,9;17,9;13;14,2;11,5;13;25,4;32,5;35,5;30,6;32,9;40,3;49,9;48,8;44,3;50,9;57,5;64,2;65,8;62,4;65,3;70,3;72,3;73,4;64,2;62,6;76,1;74,2;78,1
36;13-3-2015 16:12:07.200;26,3;28,5;24,5;21;23,6;20,7;19;13;14,5;13,8;14,2;25,6;32,7;35,6;30,2;34,6;40,8;49,7;48,6;45,3;51,8;58,5;62,9;75,3;66,7;62,8;77,2;71,9;72,1;62,4;60,4;80,1;78,2;80,9
37;13-3-2015 16:12:07.400;26,2;29,3;24,7;20,7;23,1;19,4;17,6;16,6;14,8;14,5;16,8;26,8;32,6;34,4;30;34,4;41,7;49,8;49;44,9;52,1;62,4;68,9;73,8;67,2;72;77,7;76,9;74,3;67,3;65,5;81,5;79,7;82,8
